1d,7d
38453.2235,39293.5951
38026.6386,38035.2915
36002.1765,36044.3603
33992.3743,34533.0279
33214.7175,33856.9784
33514.6353,33497.8815
30549.3836,31267.2032
30705.1693,31030.4014
30939.8334,30898.8214
31018.8491,31248.4282
31391.0285,31344.9793
32121.564,31663.2711
34380.5469,33891.7659
37712.2536,36956.7645
41967.1427,40677.9182
42744.4971,41815.3549
43101.5636,42355.9603
43154.1955,42789.6971
41125.1685,41725.9733
41247.8526,41165.3752
40514.9141,41691.8789
40549.2301,41204.1226
39588.3235,40305.7669
38535.8632,39387.4138
37711.8075,38099.8818
36198.0195,37326.147
34583.3846,36074.1422
33447.7821,34675.7595
32590.8389,33847.6957
32740.8281,33666.7012
30654.6488,31221.3852
30629.4513,31157.9391
30646.4625,31117.9256
30749.7302,31199.4812
30864.3446,31620.7992
31763.5101,31985.7184
34298.1254,34843.7421
36646.4916,38146.9482
40615.3043,41896.103
41684.5917,42358.6044
42441.3222,42257.9663
42576.1237,42430.4974
41315.2903,41986.5962
40747.8414,41782.7873
40114.7748,41173.1408
38969.1956,41560.1657
39122.8373,40920.1892
39919.5671,41041.1395
38620.0668,40295.581
37411.0965,37999.0246
35313.7842,35599.5831
34385.5215,34215.0531
33136.2685,34193.4807
32871.3992,33055.9118
30345.1419,31307.7581
30254.758,31255.2876
30843.4296,31371.9212
30956.9651,31441.2575
31310.4362,31683.4694
32019.0721,32550.5167
34718.1522,35011.475
37386.3152,38326.3256
41318.3443,42132.499
42339.8952,42553.5751
42701.9265,43507.0137
42405.4445,42646.9099
42057.8909,42047.169
41843.6717,41733.7302
40961.2877,41611.7235
42979.0787,42298.8908
43945.6819,41390.3016
43616.0311,41510.4474
41889.6827,40994.1459
39401.2287,39498.0532
37817.8921,37049.5972
35926.8564,35385.7908
34678.7916,34944.9015
34669.1709,34121.0614
31446.8914,32023.5557
31304.1684,31704.505
31479.2811,31993.8848
31517.7923,32243.7984
31608.4396,32490.5872
32297.6143,33331.2848
33509.8173,35629.6576
35830.5424,37653.0583
39699.0109,38371.6266
40966.1168,38459.9502
41449.3861,40211.2446
41873.5958,39619.897
40984.1052,39275.8994
41720.983,39374.1788
41167.9444,38961.0764
41166.9696,38213.6683
40561.0397,37221.7684
39173.2949,36195.512
38335.0055,36374.925
37704.0599,36245.1751
35697.7552,35091.5124
34599.1716,33201.2776
34048.4833,32805.4089
34073.3722,32589.8857
31551.0115,30788.0812
31279.0065,30215.751
31427.4855,30197.7155
31709.4026,30298.9381
32077.7051,30619.1491
33298.1179,31260.2082
35274.1236,32797.289
37458.4865,34735.2049
38594.6331,35062.8102
38164.8598,36195.5188
38991.601,37881.851
37731.9922,37412.6094
37405.2865,37170.1126
37179.6666,38319.7248
36230.4629,37351.9051
35693.0846,37680.0368
35169.1123,38046.0402
35548.4108,36823.3798
35922.7962,36948.3676
36579.7153,37393.1549
35964.3979,36857.1387
34275.4097,34980.223
32431.7584,34019.5506
32788.4538,34026.538
31326.1151,31016.14
30178.4841,31100.9122
30125.2091,31032.6085
30247.84,31184.4456
30632.8111,31403.618
31085.9805,32133.8614
32947.5501,34590.0417
34227.1749,38034.5702
35151.2979,41928.7571
35953.7399,42890.4429
36426.7226,44315.4374
37084.9096,43605.7633
36989.4112,43605.8521
37682.5805,43403.3678
37417.9198,42268.0428
36915.7559,41690.8256
36884.3651,41392.1566
36318.9689,40438.906
36458.133,38453.2235
37811.1391,38026.6386
36950.8805,36002.1765
34783.0982,33992.3743
34725.2008,33214.7175
34262.0798,33514.6353
31760.049,30549.3836
31875.9631,30705.1693
31778.6231,30939.8334
32032.6411,31018.8491
32086.4787,31391.0285
32527.5701,32121.564
34282.5493,34380.5469
36916.1973,37712.2536
40152.9985,41967.1427
40507.1557,42744.4971
40926.475,43101.5636
40517.2358,43154.1955
40190.0827,41125.1685
40198.9456,41247.8526
38922.9703,40514.9141
39323.7442,40549.2301
38392.9089,39588.3235
38767.8488,38535.8632
38542.4999,37711.8075
36665.2719,36198.0195
34347.7287,34583.3846
33158.6202,33447.7821
33054.8285,32590.8389
32465.3215,32740.8281
30730.4458,30654.6488
30728.4228,30629.4513
30912.2363,30646.4625
31074.6652,30749.7302
31242.6582,30864.3446
32151.5468,31763.5101
34030.8211,34298.1254
36907.1777,36646.4916
40341.8411,40615.3043
40570.0486,41684.5917
40999.9317,42441.3222
40752.4909,42576.1237
40431.5226,41315.2903
40826.4613,40747.8414
39677.3109,40114.7748
39903.5489,38969.1956
40376.4783,39122.8373
39561.7407,39919.5671
39690.8959,38620.0668
38375.7544,37411.0965
36790.8087,35313.7842
34304.9238,34385.5215
33300.0435,33136.2685
32875.1886,32871.3992
30803.0171,30345.1419
30859.8788,30254.758
31261.0504,30843.4296
31245.1531,30956.9651
31622.666,31310.4362
32263.8124,32019.0721
34245.6888,34718.1522
37326.6604,37386.3152
41108.0263,41318.3443
42014.2482,42339.8952
43018.8094,42701.9265
42554.0517,42405.4445
41392.1421,42057.8909
41804.6352,41843.6717
42437.6487,40961.2877
41645.9562,42979.0787
40999.5237,43945.6819
41498.4442,43616.0311
39608.6026,41889.6827
39477.2122,39401.2287
38507.5886,37817.8921
34861.8467,35926.8564
33502.6429,34678.7916
33289.7598,34669.1709
30592.5305,31446.8914
30656.5839,31304.1684
30782.0598,31479.2811
31061.0207,31517.7923
31160.4325,31608.4396
31816.2447,32297.6143
34402.22,33509.8173
36887.6081,35830.5424
40306.0097,39699.0109
40557.3995,40966.1168
40356.3048,41449.3861
39953.6135,41873.5958
39608.3457,40984.1052
39782.4825,41720.983
39230.6107,41167.9444
38944.7216,41166.9696
39038.7212,40561.0397
38364.4202,39173.2949
36980.2485,38335.0055
36315.7436,37704.0599
35848.4665,35697.7552
33391.5662,34599.1716
32405.7346,34048.4833
31322.7387,34073.3722
29289.2747,31551.0115
29603.4243,31279.0065
29484.9031,31427.4855
29496.1791,31709.4026
29615.9794,32077.7051
30450.8041,33298.1179
32336.0389,35274.1236
34634.744,37458.4865
35580.1261,38594.6331
36840.0225,38164.8598
37210.9988,38991.601
36888.2627,37731.9922
36450.8708,37405.2865
36813.9718,37179.6666
35096.8734,36230.4629
35080.367,35693.0846
34814.6723,35169.1123
34232.0051,35548.4108
34325.6061,35922.7962
33554.9732,36579.7153
32259.9592,35964.3979
30445.0739,34275.4097
29331.0573,32431.7584
29296.1738,32788.4538
27954.8153,31326.1151
27924.7614,30178.4841
27887.0119,30125.2091
28119.0554,30247.84
28317.6555,30632.8111
29073.968,31085.9805
30987.4319,32947.5501
32857.7168,34227.1749
33480.7417,35151.2979
32475.3315,35953.7399
33390.3464,36426.7226
33741.1771,37084.9096
33734.2949,36989.4112
34738.4576,37682.5805
34534.6735,37417.9198
34001.6841,36915.7559
33294.3801,36884.3651
33356.4107,36318.9689
32589.709,36458.133
32949.8963,37811.1391
33413.6628,36950.8805
31069.755,34783.0982
30239.6217,34725.2008
30297.0922,34262.0798
27540.7608,31760.049
27011.5749,31875.9631
27092.9997,31778.6231
27163.6615,32032.6411
27415.3211,32086.4787
28010.0031,32527.5701
29544.4344,34282.5493
31044.517,36916.1973
31830.3894,40152.9985
32641.3599,40507.1557
33885.4276,40926.475
33831.9154,40517.2358
34252.9024,40190.0827
35246.8163,40198.9456
35608.1589,38922.9703
35049.5522,39323.7442
35218.0568,38392.9089
35616.2006,38767.8488
35405.9065,38542.4999
34824.4928,36665.2719
34795.472,34347.7287
34100.9813,33158.6202
32802.7341,33054.8285
32200.0391,32465.3215
29433.7493,30730.4458
29581.6529,30728.4228
29430.8637,30912.2363
29671.9118,31074.6652
29932.8583,31242.6582
30514.395,32151.5468
32337.6342,34030.8211
34146.3433,36907.1777
35595.0602,40341.8411
36490.6157,40570.0486
37884.8582,40999.9317
37569.625,40752.4909
39567.9985,40431.5226
39933.0764,40826.4613
38605.3244,39677.3109
37762.3424,39903.5489
36779.9542,40376.4783
36108.9084,39561.7407
35151.3369,39690.8959
36955.1434,38375.7544
35785.7297,36790.8087
34350.301,34304.9238
33421.6548,33300.0435
33940.3909,32875.1886
30213.4644,30803.0171
30539.0226,30859.8788
30445.4356,31261.0504
30571.175,31245.1531
30661.7845,31622.666
31212.8186,32263.8124
33400.2224,34245.6888
35610.8402,37326.6604
39482.0699,41108.0263
39847.4874,42014.2482
40494.0527,43018.8094
40210.318,42554.0517
39978.9221,41392.1421
40847.9722,41804.6352
39933.674,42437.6487
38710.7113,41645.9562
37952.4223,40999.5237
37926.3443,41498.4442
37738.1047,39608.6026
36564.255,39477.2122
35581.6495,38507.5886
34234.2333,34861.8467
33340.5251,33502.6429
33274.7106,33289.7598
31050.2736,30592.5305
31306.789,30656.5839
31035.0916,30782.0598
31045.2513,31061.0207
31199.9922,31160.4325
31928.3796,31816.2447
33781.696,34402.22
36594.6114,36887.6081
40284.9744,40306.0097
40777.8437,40557.3995
41320.2744,40356.3048
41467.1785,39953.6135
40343.9595,39608.3457
39956.0326,39782.4825
39769.3876,39230.6107
39503.7486,38944.7216
38073.646,39038.7212
38040.9722,38364.4202
37023.2333,36980.2485
36763.5206,36315.7436
34958.8289,35848.4665
33516.3787,33391.5662
33400.2242,32405.7346
32837.1255,31322.7387
31186.8169,29289.2747
30904.6556,29603.4243
30847.9178,29484.9031
31181.3744,29496.1791
31422.4265,29615.9794
32063.3107,30450.8041
33788.4322,32336.0389
36634.7593,34634.744
40145.3761,35580.1261
41021.9596,36840.0225
41086.1027,37210.9988
41206.6675,36888.2627
40280.4216,36450.8708
40736.3501,36813.9718
39661.7529,35096.8734
39741.1078,35080.367
39017.4235,34814.6723
38044.1313,34232.0051
37476.6586,34325.6061
36320.3166,33554.9732
34551.3991,32259.9592
33461.9116,30445.0739
33141.5288,29331.0573
33011.6879,29296.1738
31634.3725,27954.8153
31553.6329,27924.7614
31638.162,27887.0119
31629.3399,28119.0554
32047.796,28317.6555
32426.197,29073.968
34374.9645,30987.4319
36693.5808,32857.7168
40596.2493,33480.7417
41101.7142,32475.3315
40724.0735,33390.3464
39874.4101,33741.1771
39370.8888,33734.2949
40259.2547,34738.4576
40149.8651,34534.6735
40046.4705,34001.6841
40033.3261,33294.3801
39533.5406,33356.4107
38244.406,32589.709
37041.1707,32949.8963
35238.6988,33413.6628
34170.8037,31069.755
33334.3788,30239.6217
33514.8311,30297.0922
31260.5627,27540.7608
30945.7814,27011.5749
30920.3724,27092.9997
31093.4961,27163.6615
31231.0049,27415.3211
31870.6505,28010.0031
33594.6669,29544.4344
35913.0384,31044.517
36579.6401,31830.3894
36702.0357,32641.3599
37561.0818,33885.4276
37420.2217,33831.9154
36498.6439,34252.9024
36221.2751,35246.8163
36213.946,35608.1589
35576.5461,35049.5522
35155.8816,35218.0568
33593.3961,35616.2006
32813.539,35405.9065
34308.2886,34824.4928
32999.7717,34795.472
31345.0616,34100.9813
31195.9121,32802.7341
31210.7395,32200.0391
30957.8299,29433.7493
30294.9249,29581.6529
30713.5249,29430.8637
30702.1609,29671.9118
30973.2236,29932.8583
31566.4925,30514.395
32712.9417,32337.6342
34409.2692,34146.3433
34860.4277,35595.0602
