,기준일ID,시간대구분,총생활인구수,남자0세부터9세생활인구수,남자10세부터14세생활인구수,남자15세부터19세생활인구수,남자20세부터24세생활인구수,남자25세부터29세생활인구수,남자30세부터34세생활인구수,남자35세부터39세생활인구수,남자40세부터44세생활인구수,남자45세부터49세생활인구수,남자50세부터54세생활인구수,남자55세부터59세생활인구수,남자60세부터64세생활인구수,남자65세부터69세생활인구수,남자70세이상생활인구수,여자0세부터9세생활인구수,여자10세부터14세생활인구수,여자15세부터19세생활인구수,여자20세부터24세생활인구수,여자25세부터29세생활인구수,여자30세부터34세생활인구수,여자35세부터39세생활인구수,여자40세부터44세생활인구수,여자45세부터49세생활인구수,여자50세부터54세생활인구수,여자55세부터59세생활인구수,여자60세부터64세생활인구수,여자65세부터69세생활인구수,여자70세이상생활인구수
217349,20220422,8,41621.7793999999,2568.4953,747.8753,499.6456,961.4578,1373.3729,1995.8883,2223.525,2184.68199999999,2052.1253,1667.5993,1646.9275,1184.4711,800.8595,1330.0074,2713.605,728.6882,488.9974,1154.8928,1729.276,1833.8181,1992.8666,1610.6386,1476.9209,1337.5685,1508.77849999999,1149.1101,756.852099999999,1902.8343
217774,20220422,9,42752.4335999999,2876.541,837.57,566.8612,967.0924,1423.2099,1975.7819,2365.26389999999,2149.0381,2095.87399999999,1712.8869,1701.074,1207.6314,778.0394,1306.18319999999,2818.80299999999,756.9374,442.8111,1187.8143,1766.9736,1971.21309999999,1938.47779999999,1663.3149,1555.8501,1308.8233,1499.3185,1155.90149999999,794.9809,1928.16879999999
218236,20220422,10,42005.2064,2979.4096,867.5221,508.2337,900.346,1337.4069,1917.4675,2291.53839999999,2126.8056,2028.8756,1696.348,1643.9249,1201.1367,769.8369,1332.3149,2769.52579999999,743.704399999999,398.545599999999,1157.20419999999,1703.795,1882.07269999999,2074.8074,1712.8016,1462.9256,1216.7499,1485.6529,1117.2626,771.3006,1907.69239999999
218659,20220422,11,41472.6232,2796.7803,814.3458,575.108899999999,979.138299999999,1346.89879999999,1890.0913,2196.8955,2028.4502,2029.7781,1759.1886,1667.1567,1208.83719999999,779.047199999999,1323.81459999999,2670.9036,717.2214,467.6815,1189.34089999999,1715.5731,1848.7282,2053.28479999999,1596.21129999999,1396.5957,1252.1004,1460.13439999999,1101.7207,755.7865,1851.8087
219087,20220422,12,42198.5363999999,2979.6317,867.5868,601.0361,1066.92429999999,1332.329,1969.52199999999,2330.91789999999,2119.2746,2082.03789999999,1731.02659999999,1641.269,1187.7833,752.666799999999,1255.5171,2674.1385,718.089799999999,442.4332,1217.6925,1768.0598,1937.8217,2084.9596,1611.53289999999,1460.5515,1216.1472,1376.4175,1144.1468,741.0343,1887.9866
219510,20220422,13,42711.6137999999,3019.2555,879.1244,604.5551,936.1334,1361.6492,1974.4141,2388.2091,2221.7925,1974.3624,1869.6974,1701.31459999999,1212.60449999999,770.8164,1267.9482,2781.43589999999,746.9026,475.712699999999,1222.961,1785.66889999999,1921.46399999999,2103.0859,1654.3123,1451.5253,1201.8492,1425.5226,1102.94969999999,776.985599999999,1879.36089999999
219934,20220422,14,41812.4464,2513.4957,731.860999999999,721.3612,891.302199999999,1465.4856,2052.891,2417.1549,2183.8625,1993.6963,1797.9172,1716.9838,1214.6723,670.249599999999,1325.4618,2379.9684,639.095699999999,425.442099999999,1279.01129999999,1792.9398,1951.8912,2072.91539999999,1680.5008,1459.4371,1197.5698,1470.5633,1125.585,749.9429,1891.1889
220350,20220422,15,40705.9372,2272.1368,661.583899999999,594.1114,942.2784,1476.4836,2046.4699,2428.1176,2262.14429999999,2001.6364,1790.3912,1686.8641,1088.1382,671.517299999999,1316.9422,1997.4905,536.389,526.646499999999,1179.57089999999,1822.1351,1870.9318,1990.61819999999,1632.48589999999,1491.8714,1237.4712,1399.40599999999,1095.67069999999,722.130099999999,1964.3032
220521,20220422,16,39181.5990999999,2429.4891,707.400399999999,519.956199999999,845.3627,1385.8994,1993.3179,2201.63729999999,2206.2889,1999.4049,1671.66529999999,1668.6305,1137.79369999999,713.3459,1307.93069999999,1950.6021,523.7978,559.3662,1142.9969,1691.04919999999,1710.73939999999,1849.2789,1542.79569999999,1422.786,1175.7021,1221.4896,1031.9756,687.285399999999,1883.6121
221201,20220422,17,39144.7283,2364.4825,688.472099999999,504.7353,781.9533,1414.9853,1903.814,2167.6311,2097.871,2092.62109999999,1643.1837,1526.9285,1164.06099999999,722.7377,1322.7497,2011.21399999999,540.0737,613.815,1166.3387,1614.8368,1728.04929999999,1811.5485,1549.0525,1430.0723,1187.97219999999,1316.2293,1089.51469999999,759.0687,1930.7171
