역이름,역지역,위도,경도,호선
용답,수도권,37.56212098,127.0508873,2호선
도곡,수도권,37.49097578,127.0554977,3호선
대치,수도권,37.49448585,127.0631898,3호선
학여울,수도권,37.496878,127.071153,3호선
대청,수도권,37.49370112,127.0795179,3호선
일원,수도권,37.48398507,127.0841207,3호선
수서,수도권,37.48528432,127.1044517,3호선
가락시장,수도권,37.49309205,127.1182582,3호선
경찰병원,수도권,37.49598689,127.1244824,3호선
오금,수도권,37.50212807,127.1279306,3호선
당고개,수도권,37.67020604,127.0790485,4호선
상계,수도권,37.66071334,127.0734171,4호선
노원,수도권,37.65634036,127.0634401,4호선
창동,수도권,37.65332049,127.0476405,4호선
쌍문,수도권,37.6485318,127.0346516,4호선
수유,수도권,37.63786648,127.0254921,4호선
미아,수도권,37.62664008,127.026032,4호선
미아사거리,수도권,37.61326845,127.0300821,4호선
길음,수도권,37.60337676,127.02505,4호선
성신여대입구,수도권,37.59296272,127.0171204,4호선
한성대입구,수도권,37.58840479,127.0060008,4호선
혜화,수도권,37.5820259,127.0019246,4호선
동대문,수도권,37.571664,127.010618,4호선
동대문역사문화공원,수도권,37.56564549,127.0089872,4호선
충무로,수도권,37.56139298,126.9941372,4호선
명동,수도권,37.56095986,126.9863956,4호선
회현,수도권,37.55876024,126.9784282,4호선
서울역,수도권,37.55331631,126.9697383,4호선
숙대입구,수도권,37.54459523,126.9721181,4호선
삼각지,수도권,37.53443213,126.9729139,4호선
신용산,수도권,37.52925915,126.9679605,4호선
이촌,수도권,37.52244891,126.9733255,4호선
동작,수도권,37.50297056,126.980299,4호선
총신대입구,수도권,37.48678878,126.9822028,4호선
사당,수도권,37.47655322,126.9815495,4호선
남태령,수도권,37.46424635,126.9890807,4호선
남영,수도권,37.54055856,126.9713276,1호선
용산,수도권,37.53006915,126.964815,1호선
노량진,수도권,37.51357125,126.9408887,1호선
대방,수도권,37.51334692,126.9264787,1호선
어룡,수도권,37.74267613,127.0851841,의정부경전철
영등포,수도권,37.51567647,126.9078579,1호선
신도림,수도권,37.50890487,126.891308,1호선
이촌,수도권,37.52244891,126.9733255,경의선
서빙고,수도권,37.51955012,126.988394,경의선
옥수,수도권,37.54155186,127.0173802,경의선
응봉,수도권,37.54994542,127.0344701,경의선
왕십리,수도권,37.56126116,127.0370785,경의선
청량리,수도권,37.58071852,127.0484998,경의선
회기,수도권,37.5897782,127.0580393,1호선
외대앞,수도권,37.59626243,127.0636834,1호선
신이문,수도권,37.60177445,127.0673799,1호선
광운대,수도권,37.62383376,127.0616906,1호선
월계,수도권,37.63325953,127.0588435,1호선
녹천,수도권,37.64463345,127.0513741,1호선
창동,수도권,37.65332049,127.0476405,1호선
선릉,수도권,37.50449378,127.0489481,분당선
한티,수도권,37.4962749,127.0529007,분당선
도곡,수도권,37.49097578,127.0554977,분당선
개포동,수도권,37.48913227,127.0661026,분당선
대모산입구,수도권,37.49154287,127.0730703,분당선
왕십리,수도권,37.56126116,127.0370785,분당선
수서,수도권,37.48528432,127.1044517,분당선
복정,수도권,37.47073829,127.1267014,분당선
신길,수도권,37.51678342,126.9183536,1호선
중랑,수도권,37.5948318,127.0756623,경의선
상봉,수도권,37.59669897,127.0857421,경의선
망우,수도권,37.59928883,127.0923583,경의선
양원,수도권,36.96378243,129.0912785,경의선
구리,수도권,37.60325633,127.1433464,경의선
도농,수도권,37.60876542,127.1611605,경의선
양정,수도권,37.60401174,127.1946713,경의선
덕소,수도권,37.58688676,127.2088246,경의선
도심,수도권,37.57963547,127.2226838,경의선
팔당,수도권,37.54735586,127.2439526,경의선
운길산,수도권,37.55464256,127.3102271,경의선
양수,수도권,37.54595984,127.3291338,경의선
신원,수도권,37.5255748,127.3730735,경의선
국수,수도권,37.51617276,127.3992917,경의선
아신,수도권,37.51390779,127.4432114,경의선
오빈,수도권,37.50614917,127.4736568,경의선
석계,수도권,37.61500193,127.0656702,1호선
양평,수도권,37.52556883,126.8864193,경의선
원덕,수도권,37.46876732,127.5465586,경의선
용문,수도권,37.48261007,127.5943715,경의선
지평,수도권,37.4768771,127.6296665,경의선
서울역,수도권,37.55331631,126.9697383,경의선
신촌,수도권,37.55519546,126.9369627,경의선
효창공원앞,수도권,37.53929433,126.9613936,경의선
공덕,수도권,37.54453447,126.9514331,경의선
서강대,수도권,37.55213127,126.935494,경의선
홍대입구,수도권,37.55686353,126.923765,경의선
수색,수도권,37.58080849,126.8956414,경의선
화전,수도권,37.60330604,126.8683857,경의선
강매,수도권,37.61228686,126.8444948,경의선
행신,수도권,37.61196662,126.8342796,경의선
능곡,수도권,37.61901009,126.8204224,경의선
곡산,수도권,37.64575754,126.8017978,경의선
백마,수도권,37.6580166,126.7946029,경의선
풍산,수도권,37.67232736,126.7862662,경의선
일산,수도권,37.6820093,126.7700045,경의선
탄현,수도권,37.69397448,126.7610556,경의선
야당,수도권,37.7126074,126.7614495,경의선
운정,수도권,37.72559277,126.7671475,경의선
금릉,수도권,37.75132092,126.7653875,경의선
금촌,수도권,37.76615076,126.7746017,경의선
파주,수도권,37.81535838,126.7926913,경의선
문산,수도권,37.85461245,126.7873772,경의선
임진강,수도권,37.88826421,126.7470603,경의선
광운대,수도권,37.62383376,127.0616906,경춘선
청량리,수도권,37.58071852,127.0484998,경춘선
회기,수도권,37.5897782,127.0580393,경춘선
상봉,수도권,37.59669897,127.0857421,경춘선
망우,수도권,37.59928883,127.0923583,경춘선
신내,수도권,37.61248742,127.1042669,경춘선
